title,description,keywords,url
Demythologising the Historical 'Conflict' between Geology and Genesis,Research seminr given by Prof. Martin Rudwick,bible; conflict; faraday; genesis; geology; history; religion; rudwick; science,https://sms.cam.ac.uk/media/1271066
"Descartes, God and the Mechanistic Universe","Research Seminar given by Prof. John Cottingham, 21 February 2017",cottingham; descartes; faraday; god; mechanistic; philosophy; religion; science; theology; universe,https://sms.cam.ac.uk/media/2415164
Developments in Neuroscience and Human Freedom: Some Theological and Philosophical Perspectives,Talk given by Prof. Alan Torrance as part of summer course 3,faraday; freedom; human; neuroscience; philosophical; philosophy; religion; science; theological; theology; torrance,https://sms.cam.ac.uk/media/1211445
"Did My Neurons Make Me Do It?  The Brain, Mind and Non-reductive Physicalism",Lecture given by Prof. Warren Brown as part of the 'Neurosciences and Religion' Course (Short Course 15) at the Faraday Institute,brain; brown; faraday institute; mind; neuron; neurosciences; non-reductive; physicalism; religion; science; warren,https://sms.cam.ac.uk/media/650381
Disasters and Resilience: What Good is God?,"Talk given by Revd Dr Roger Abbott as part of Short Course 47: Disasters, Faith and Resilience",abbott; disaster; earthquake; environment; faith; faraday; flood; god; hurricane; religion; science,https://sms.cam.ac.uk/media/2728343
"Disasters, Blame and Forgiveness","Talk given by Revd John Mosey at the Disasters, Faith and Resilience Course",compassion; disasters; faith; faraday; forgiveness; lockerbie; mosey,https://sms.cam.ac.uk/media/2741284
"Disasters, injustice and the goodness of creation: a Biblical perspective","Talk given by Dr Jonathan Moo at the Disasters, Faith and Resilience Course",bible; christianity; disasters; faith; faraday; moo; religion; science,https://sms.cam.ac.uk/media/2732214
Disasters: Natural or Unnatural?,"Talk given by Prof. Bob White as part of Short Course 47: Disasters, Faith and Resilience",bible; disaster; environment; faraday; natural; religion; science; unnatural; white,https://sms.cam.ac.uk/media/2752524
Disasters: What survivors think and how to help,"Talk given by Pastor Luc Honorat as part of Short Course 47: Disasters, Faith and Resilience",disasters; earthquake; faith; faraday; haiti; help; honorat; religion; science; survivors,https://sms.cam.ac.uk/media/2766175
"Disbelief, delusions and hallucinations",Talk given by Prof Paul Fletcher as part of short course 32 (The Believing Brain),delusions; faraday; fletcher; hallucinations; religion,https://sms.cam.ac.uk/media/2129506
